GO Categories,Gene Symbol,Normals_NB.MYCN.A_logFC_mean,Normals_NB.MYCN.NA_logFC_mean,Normals_NB.Unknown_logFC_mean,Normals_NB.MYCN.A_PValue_mean,Normals_NB.MYCN.NA_PValue_mean,Normals_NB.Unknown_PValue_mean,Normals_NB.MYCN.A_FDR_mean,Normals_NB.MYCN.NA_FDR_mean,Normals_NB.Unknown_FDR_mean
GO:0000002:mitochondrial genome maintenance,"MEF2A, MPV17, SLC25A36, SLC25A4",-0.7611123362827918,-0.7518481264666041,-0.8406117724150028,0.03478440572424204,0.0474513140066883,0.2847573962142448,0.07423479469153751,0.08780989928719636,0.4196434691877712
"GO:0000009:alpha-1,6-mannosyltransferase activity","ALG12, PIGV",-0.669711434630482,-0.5201091089609216,-0.45008402448185514,0.15887397804581718,0.036360125717204136,0.4233318952409738,0.2777443618955139,0.0712748942649248,0.5168743665044432
GO:0000014:single-stranded DNA endodeoxyribonuclease activity,EXOG,-0.106452419070548,-0.342023856121118,-0.193640547443472,0.484416192179379,0.0029273723105339,0.492948572470164,0.773382500899425,0.0074790808921397,0.912941083592179
GO:0000016:lactase activity,LCT,1.53562384964112,2.20068490118884,1.53422736119608,3.13870153989492e-05,9.753834260111819e-11,0.0034916847614325,0.0001345540361141,5.34749432998345e-10,0.0210486094033052
GO:0000017:alpha-glucoside transport,"SLC5A1, SLC5A2",-5.33403946965754,-5.496209242558365,-1.2747579725277849,1.4496364214577048e-06,1.365758355821525e-11,0.36040415182049174,6.972281145509036e-06,7.63327395322515e-11,0.7460769515552792
GO:0000018:regulation of DNA recombination,IL7R,-2.4001814353793,-1.48738368109533,-2.03943269856612,2.56572555395876e-06,9.20607788941583e-07,0.044483423493336,1.3001836391145e-05,3.56364923741247e-06,0.158975649012805
GO:0000023:maltose metabolic process,GAA,0.669666831209746,1.05216552282502,0.648114511284265,6.53752521005821e-07,1.54449687564112e-16,0.0040402441359214,3.61867202799302e-06,1.29946031445364e-15,0.0237346256786123
GO:0000025:maltose catabolic process,MGAM,-2.69893225396422,-2.57340338048612,-1.88081503915163,9.19354152803986e-08,3.12215915741211e-14,0.0809264832007204,5.77292717454815e-07,2.24137189710832e-13,0.253721712092374
"GO:0000026:alpha-1,2-mannosyltransferase activity",PIGB,-1.05541008100541,-0.922346530410656,-0.965042763608034,1.2298650671634699e-12,1.43786392720865e-18,0.001366449000738,1.43952286234854e-11,1.3876792665203e-17,0.009728230803952
GO:0000027:ribosomal large subunit assembly,RPLP0,1.03585348020255,0.121743419151164,0.371678293770947,1.1734477787356401e-09,0.388049915303031,0.209451176649086,9.50707480584297e-09,0.614971952552949,0.518220232244231
GO:0000030:mannosyltransferase activity,"ALG1, ALG12, PIGB, PIGV, POMT1, POMT2, TMTC1, TMTC2, TMTC3, TMTC4",-0.32889173027804913,-0.19273420420857912,-0.12442183443106304,0.18124062750965894,0.09150179165109644,0.22501601821996164,0.2735467654261123,0.1394340810127769,0.3489673426358408
"GO:0000033:alpha-1,3-mannosyltransferase activity","ALG3, ALG8",0.7575012934028996,0.15548909509416833,0.4602820696072126,0.017800413241150496,0.028970841238389403,0.31204288658451057,0.04034061144659996,0.056720282681918,0.33984856125631874
GO:0000035:acyl binding,GNAT1,1.48363712904783,0.820441332578663,2.09391523580443,0.0053357409991695,0.097026997084654,0.0343641192634139,0.0153587057569511,0.183614505578258,0.130513450710139
GO:0000038:very long-chain fatty acid metabolic process,"ABCD1, ABCD2, ABCD3, ACSL1, ACSL6, CYP4F12, PEX2, SLC27A5, SLC27A6",-2.022265411925544,-2.0314153405040725,-1.9145889542418864,0.020716468718850432,0.09791688877502736,0.1535069722113811,0.039152931319457254,0.11377549720875686,0.27910991737808555
GO:0000045:autophagosome assembly,"ATG9A, ATG9B, ATP2A2, PSEN1, RAB33A, TCIRG1, VMP1",-0.17176497838493524,-0.06849416790223933,-0.17906754065089667,0.10437574590458441,0.23881240725015643,0.17814899977017104,0.1860429013444331,0.3432443327651226,0.38667468695741974
GO:0000048:peptidyltransferase activity,"GGT1, GGT5",-0.926254921531725,-0.5537080077555694,-0.47297210829284,0.4540772451616577,0.09126520949638144,0.032734232855168854,0.5000001563386748,0.16071402277226798,0.12118437091281034
GO:0000050:urea cycle,CEBPA,-1.65446810948255,-1.42028225573899,-0.251051854228852,0.001047199867529,2.45112805806905e-06,0.728323576254882,0.0034668177249181,9.10528607850574e-06,1.0
GO:0000062:fatty-acyl-CoA binding,"ACBD5, SOAT1, SOAT2",-2.128370549703436,-1.588820065377668,-1.8450833116486298,5.007057540235811e-08,7.754221536749306e-10,0.012890715212447302,3.180041058151875e-07,3.8344132293563835e-09,0.05914553204491028
GO:0000064:L-ornithine transmembrane transporter activity,"SLC7A1, SLC7A2, SLC7A3",1.1194686753613659,0.982914791311082,1.8231763717149256,6.270938759322725e-06,5.830189003408489e-15,0.006095793001451484,2.822150170564909e-05,4.297174719764854e-14,0.02375761906508896
GO:0000070:mitotic sister chromatid segregation,NSL1,0.13530765767796,0.0500584429644317,0.461106656860653,0.270291344366185,0.551485231240645,0.0182621435596677,0.484748989876796,0.816127746245913,0.0793323833422411
GO:0000077:DNA damage checkpoint signaling,"CDC5L, E2F1, HINFP, LYN",1.0393068942731665,0.844749975243364,0.7967927196632669,0.0026210771058885777,0.035756374598858325,0.09062161021214298,0.0071614977548489995,0.06751887676607049,0.23262250597498055
GO:0000079:regulation of cyclin-dependent protein serine/threonine kinase activity,CDK5R1,2.1077751155124,1.92514898599575,2.55936392901503,8.14476882246631e-08,7.01176971219999e-13,3.98787594822269e-05,5.15733641616046e-07,4.5457100099794196e-12,0.0005105964308085
GO:0000082:G1/S transition of mitotic cell cycle,"ACVR1B, BCL2, BTN2A2, E2F3, GPR132, HINFP, ID4, IQGAP3, ITGB1, MYC, ZNF324",-0.08390748654958571,0.05506441588264621,0.6232889491006165,0.00397006453410296,0.19482546069355883,0.12769170353982406,0.00973221648695742,0.2231345097430995,0.2547620966772426
GO:0000086:G2/M transition of mitotic cell cycle,"ABCB1, APP, CALM3, FOXM1, MTA3, PBX1, USH1C",-0.24188232115102956,-0.027237357891988938,0.27091100730780876,0.015443202955864594,0.13559413632624634,0.39116764456283476,0.03312977774158302,0.17360813461494812,0.47589886769751544
GO:0000095:S-adenosyl-L-methionine transmembrane transporter activity,SLC25A26,-0.516976448740667,-0.764770310427838,-0.299719673763551,0.000208941596507,9.12191889728325e-16,0.289625298895966,0.0007811569688959,7.31392729525847e-15,0.657198087608312
GO:0000118:histone deacetylase complex,"HDAC11, HINT1, MTA2, RCOR2, RCOR3, RERE, SATB2, TRERF1, ZNF217, ZNF541",-0.1053724298462569,-0.4230743995526934,-0.4062385221067653,0.05182307291981325,0.018288619417047878,0.06274002604836222,0.10449618972502739,0.03401171128988866,0.17043363748684395
