GO Categories,Gene Symbol,Normals_NB.MYCN.A_logFC_mean,Normals_NB.MYCN.NA_logFC_mean,Normals_NB.Unknown_logFC_mean,Normals_NB.MYCN.A_PValue_mean,Normals_NB.MYCN.NA_PValue_mean,Normals_NB.Unknown_PValue_mean,Normals_NB.MYCN.A_FDR_mean,Normals_NB.MYCN.NA_FDR_mean,Normals_NB.Unknown_FDR_mean
GO:0000002:mitochondrial genome maintenance,"MEF2A, MPV17, SLC25A36, SLC25A4",-0.761112336,-0.751848126,-0.840611772,0.034784406,0.047451314,0.284757396,0.074234795,0.087809899,0.419643469
"GO:0000009:alpha-1,6-mannosyltransferase activity","ALG12, PIGV",-0.669711435,-0.520109109,-0.450084024,0.158873978,0.036360126,0.423331895,0.277744362,0.071274894,0.516874367
GO:0000014:single-stranded DNA endodeoxyribonuclease activity,EXOG,-0.106452419,-0.342023856,-0.193640547,0.484416192,0.002927372,0.492948572,0.773382501,0.007479081,0.912941084
GO:0000016:lactase activity,LCT,1.53562385,2.200684901,1.534227361,3.14E-05,9.75E-11,0.003491685,0.000134554,5.35E-10,0.021048609
GO:0000017:alpha-glucoside transport,"SLC5A1, SLC5A2",-5.33403947,-5.496209243,-1.274757973,1.45E-06,1.37E-11,0.360404152,6.97E-06,7.63E-11,0.746076952
GO:0000018:regulation of DNA recombination,IL7R,-2.400181435,-1.487383681,-2.039432699,2.57E-06,9.21E-07,0.044483423,1.30E-05,3.56E-06,0.158975649
GO:0000023:maltose metabolic process,GAA,0.669666831,1.052165523,0.648114511,6.54E-07,1.54E-16,0.004040244,3.62E-06,1.30E-15,0.023734626
GO:0000025:maltose catabolic process,MGAM,-2.698932254,-2.57340338,-1.880815039,9.19E-08,3.12E-14,0.080926483,5.77E-07,2.24E-13,0.253721712
"GO:0000026:alpha-1,2-mannosyltransferase activity",PIGB,-1.055410081,-0.92234653,-0.965042764,1.23E-12,1.44E-18,0.001366449,1.44E-11,1.39E-17,0.009728231
GO:0000027:ribosomal large subunit assembly,RPLP0,1.03585348,0.121743419,0.371678294,1.17E-09,0.388049915,0.209451177,9.51E-09,0.614971953,0.518220232
GO:0000030:mannosyltransferase activity,"ALG1, ALG12, PIGB, PIGV, POMT1, POMT2, TMTC1, TMTC2, TMTC3, TMTC4",-0.32889173,-0.192734204,-0.124421834,0.181240628,0.091501792,0.225016018,0.273546765,0.139434081,0.348967343
"GO:0000033:alpha-1,3-mannosyltransferase activity","ALG3, ALG8",0.757501293,0.155489095,0.46028207,0.017800413,0.028970841,0.312042887,0.040340611,0.056720283,0.339848561
GO:0000035:acyl binding,GNAT1,1.483637129,0.820441333,2.093915236,0.005335741,0.097026997,0.034364119,0.015358706,0.183614506,0.130513451
GO:0000038:very long-chain fatty acid metabolic process,"ABCD1, ABCD2, ABCD3, ACSL1, ACSL6, CYP4F12, PEX2, SLC27A5, SLC27A6",-2.022265412,-2.031415341,-1.914588954,0.020716469,0.097916889,0.153506972,0.039152931,0.113775497,0.279109917
GO:0000045:autophagosome assembly,"ATG9A, ATG9B, ATP2A2, PSEN1, RAB33A, TCIRG1, VMP1",-0.171764978,-0.068494168,-0.179067541,0.104375746,0.238812407,0.178149,0.186042901,0.343244333,0.386674687
GO:0000048:peptidyltransferase activity,"GGT1, GGT5",-0.926254922,-0.553708008,-0.472972108,0.454077245,0.091265209,0.032734233,0.500000156,0.160714023,0.121184371
GO:0000050:urea cycle,CEBPA,-1.654468109,-1.420282256,-0.251051854,0.0010472,2.45E-06,0.728323576,0.003466818,9.11E-06,1
GO:0000062:fatty-acyl-CoA binding,"ACBD5, SOAT1, SOAT2",-2.12837055,-1.588820065,-1.845083312,5.01E-08,7.75E-10,0.012890715,3.18E-07,3.83E-09,0.059145532
GO:0000064:L-ornithine transmembrane transporter activity,"SLC7A1, SLC7A2, SLC7A3",1.119468675,0.982914791,1.823176372,6.27E-06,5.83E-15,0.006095793,2.82E-05,4.30E-14,0.023757619
GO:0000070:mitotic sister chromatid segregation,NSL1,0.135307658,0.050058443,0.461106657,0.270291344,0.551485231,0.018262144,0.48474899,0.816127746,0.079332383
GO:0000077:DNA damage checkpoint signaling,"CDC5L, E2F1, HINFP, LYN",1.039306894,0.844749975,0.79679272,0.002621077,0.035756375,0.09062161,0.007161498,0.067518877,0.232622506
GO:0000079:regulation of cyclin-dependent protein serine/threonine kinase activity,CDK5R1,2.107775116,1.925148986,2.559363929,8.14E-08,7.01E-13,3.99E-05,5.16E-07,4.55E-12,0.000510596
GO:0000082:G1/S transition of mitotic cell cycle,"ACVR1B, BCL2, BTN2A2, E2F3, GPR132, HINFP, ID4, IQGAP3, ITGB1, MYC, ZNF324",-0.083907487,0.055064416,0.623288949,0.003970065,0.194825461,0.127691704,0.009732216,0.22313451,0.254762097
GO:0000086:G2/M transition of mitotic cell cycle,"ABCB1, APP, CALM3, FOXM1, MTA3, PBX1, USH1C",-0.241882321,-0.027237358,0.270911007,0.015443203,0.135594136,0.391167645,0.033129778,0.173608135,0.475898868
GO:0000095:S-adenosyl-L-methionine transmembrane transporter activity,SLC25A26,-0.516976449,-0.76477031,-0.299719674,0.000208942,9.12E-16,0.289625299,0.000781157,7.31E-15,0.657198088
